diffie,mc,kyber,,,rs
,FRAMEWORK LATENCY,,,,
,,,,,
81.07073808,86.68407798,79.9161489,20,,837.5900001
161.9170983,177.4482148,158.2748489,40,,1676.060996
240.7404678,256.5910349,238.9168475,60,,2515.61828
323.3751345,338.9079416,314.6455254,80,,3355.276308
404.9061041,425.7985547,394.1501212,100,,4188.599377
,,,,,
121.5091808,127.5115526,118.4789817,30,,1257.642453
201.8659537,211.396389,196.1665437,50,,2097.633855
40.76548481,43.44530654,39.75229788,10,,416.6615345
,,,,,
,INITIAL HANDSHAKE,,,,
,,,,,
1.334379435,7.715092659,0.854640007,20,,37.89218969
2.819718599,13.70774746,1.606160402,40,,76.82418529
4.083427906,20.97012496,2.313826084,60,,116.8469285
5.375738859,27.35111546,3.140156269,80,,153.4886058
6.860990763,35.7108395,4.106678485,100,,194.4687799
,,,,,
0.742625952,4.179862022,0.483261108,10,,20.49008703
2.138208866,10.21667504,1.200000048,30,,56.57512071
3.237529993,17.13444042,1.940156221,50,,96.91348513
,,,,,
,FILE DECRYPTION,,,,
,,,,,
0.642972231,0.980050325,0.716365576,20,,152.19001
1.277808666,1.638006926,1.323853016,40,,306.052129
2.047431231,2.386998653,2.028088093,60,,459.6434891
2.750682354,3.251405716,2.501712323,80,,614.1212647
3.464375496,4.146607876,3.177670479,100,,768.1160514
,,,,,
0.356846571,0.44760108,0.337979078,10,,76.99739337
1.117278576,1.278898716,0.925222874,30,,230.61122
1.633403778,1.972507,1.576489449,50,,383.5100447
,,,,,
,FILE ENCRYPTION,,,,
,,,,,
5.294985533,3.817143679,3.492558479,20,,577.1211613
10.38448763,7.574130535,7.102825642,40,,1122.840962
15.65237308,10.99500275,10.60979939,60,,1684.431087
21.1256454,14.60483146,13.80975556,80,,2242.566668
26.29767108,18.3161943,17.38567901,100,,2834.969898
,,,,,
2.58601284,1.855681419,1.787961721,10,,296.2016151
8.039258242,5.431440353,5.281536579,30,,838.8033468
13.08638716,9.173391104,8.528218985,50,,1403.763321
